Brand,Name,Price,Size,Rating,Details,Ingredients
Laura Mercier,Candleglow Soft Luminous Foundation,$48.00 ,SIZE 1 oz/ 30 mL,3.7 / 5 stars,"What it is: 
 A sheer-to-medium, buildable coverage foundation that creates a soft, candlelit glow on skin—day or night. 

What it does: 
 Laura Mercier always dreamed of inventing a foundation that recreated the atmosphere of a candlelit room. Candleglow Soft Luminous Foundation is a mosaic of nature’s most luminous natural ingredients that gives skin a glowing look anytime day or night. A calibrated blend of radiant-pearl mica, embedded in an ultra-lightweight formula, mimics the reflective radiance of just lit candles. The mica mélange fuses with refreshing purified water that leaves skin with a burst of hydration and helps foundation glide onto skin for lasting smoothness and natural luminosity. Available in 24 shades, this foundation’s luxurious blend of lightweight oils locks in this moisture to leave skin balanced, soft and beautifully ignited. 

What else you need to know: 
 This product is dermatologist tested and noncomedogenic. Apply to clean skin with Laura’s foundation sponge or with fingertips. For best results, use with your preferred Laura Mercier™ Foundation Primer. ","-Calibrated Blend of Radiant-Pearl Mica: Blurs imperfections and helps to even skin tone for a finish that mimics the reflective glow of just-lit candles. 
-Refreshing Purified Water: Gives skin a burst of hydration and helps foundation glide onto skin f"
rms beauty,Un Cover-Up Concealer/Foundation,$36.00 ,SIZE 0.20 oz/ 6 mL,4.3 / 5 stars,"What it is:
 A skin-perfecting concealer and foundation for the under-eye area and face. 

What it does:
 Completely lightweight and hydrating, Un Cover-Up will reveal more youthful and radiant skin while minimizing the appearance of pores. Used as a foundation or a light concealer, it melts into the skin to cover imperfections and redness. The formula provides even coverage that will never look heavy or dry.

What it is formulated WITHOUT:
- Parabens
- Sulfates
- Phthalates

What else you need to know:
This product is also hypoallergenic, gluten-free, cruelty-free, and noncomedogenic.","*Cocos Nucifera (Coconut) Oil, *Ricinus Communis (Castor) Seed Oil, *Cera Alba (Beeswax), *Theobroma Cacao (Cocoa) Seed Butter, *Simmondsia Chinensis (Jojoba) Seed Oil, Tocopherol(non-GMO), *Rosmarinus officinalis (Rosemary) Extract, and may contain: [+/- Titanium Dioxide CI 77891, Iron Oxides CI 77492, CI 77491, CI 77499] 

*Certified Organic"
Supergoop!,CC Cream Daily Correct Broad Spectrum SPF 35+ Sunscreen,$32.00 ,SIZE 1.6 oz/ 47 mL,4.4 / 5 stars,"Which skin type is it good for?
? Normal
? Oily
? Combination
? Dry
? Sensitive 

What it is:
A color-correcting, moisturizing, 100 percent mineral CC cream that covers imperfections, while providing broad-spectrum SPF 35 sun protection and long-term anti-aging benefits. 

Solutions for: 
- Dryness 
- Uneven skin tone 
- Pores 

If you want to know more…
CC Cream Daily Correct protects from signs of photoaging such as hyperpigmentation while providing instant clarity to the complexion in one easy step. Blended with light-diffusing mica, it instantly softens the look of lines, wrinkles, and pores—leaving behind a fresh and flawless face. It features more coverage than a tinted moisturizer, and for some, could replace a daily foundation. 

What it is formulated WITHOUT:
- Parabens
- Sulfates
- Phthalates 

What else you need to know:
 This product is cruelty-free and does not contain synthetic fragrance or oxybenzone. All Supergoop! products have been clinically tested and determined to deliver broad-spectrum UVA and UVB protection. ","-Zinc Oxide 20%: Delivers broad-spectrum sun protection.
-Titanium Dioxide 1.42%: Delivers broad-spectrum sun protection.
-Mica Minerals: Diffuse light, blurring imperfections.
-Apple (Fruit) Extract: Gives skin a firmer, healthier, more lifted look.
"
Yves Saint Laurent,TOUCHE ECLAT All-In-One Glow,$48.00 ,SIZE 1.01 oz/ 30 mL,4.4 / 5 stars,"Coverage:
? Medium

Skin type:
? Sensitive
? Normal
? Dry
? Combination
? Oily

Finish:
? Radiant

SPF:
- SPF 23

What it is:
 A skin-loving, all-in-one tinted moisturizer that evens complexion, eliminates dullness, and smooths fine lines with oil-free skincare ingredients and a natural, luminous finish.

What does:
This advanced formula, made with 70 percent water, hyaluronic acid, vitamin E, and antioxidants is clinically shown to provide rich hydration and improve the look of skin texture while creating a naturally shine-free, luminous complexion. It’s your skin, but better. The breakthrough texture is incredibly light, so skin feels fresh and comfortable all day. Finally, the coverage is buildable from light to medium. It’s the ultimate multitasking partner for flawless-looking, naturally glowing skin.

What it is formulated WITHOUT:
- Parabens
- Sulfates

What else you need to know:
 TOUCHE ECLAT All-In-One Glow Tinted Moisturizer is made in France with the finest pigments and ingredients that respect and care for the skin. The formula is oil-free, noncomedogenic, talc-free, and dermatologist-tested. 

Available in 12 shades, TOUCHE ECLAT All-In-One Glow is a multitasker that can be used in multiple ways. Use it as your everyday tinted moisturizer if you want deep hydration with medium radiant coverage. Use it as part of your makeup routine if you tend to do a matte finish during the week and want more natural coverage on the weekends. It can also be used in combination with your favorite matte foundation if you want a natural glow on certain parts of your face with a mattified look around the t-zone.

Research results:
In a 1 week clinical test, users said:
- 87% the product doesn’t settle into pores
- 85% the product gives a natural finish
- 82% leaves the skin feel nourished and allows the skin to breathe
- 80% makes skin feel hydrated all day long
- 71% smoother skin","-Hyaluronic Acid: Provides rich hydration.
-Vitamin E: Blocks free radicals to promote youthful-looking and energized complexion.
-Antioxidants: Provide essential nourishment.
-Rucus and Calendula Extract: Smooth the look of skin and brighten the compl"
Smashbox,Camera Ready CC Cream Broad Spectrum SPF 30 Dark Spot Correcting,$42.00 ,SIZE 1 oz/ 30 g,3.9 / 5 stars,"Coverage:
? Sheer

Skin type:
? Sensitive
? Normal
? Dry
? Combination
? Oily

SPF:
- SPF 30

What it is:
 A skin-perfecting CC cream that delivers color correction and sun protection in one. 

What does:
 This CC cream visibly diminishes the look of post-acne marks, dark spots, and sun spots over time. It neutralizes redness and brightens skin while concealing imperfections with light, buildable coverage. It creates natural-looking radiance with priming, perfecting, and moisturizing properties. It also delivers broad spectrum SPF 30 UVA/UVB sun protection while adding moisture without creating excess oil.

What it is formulated WITHOUT:
- Parabens
- Phthalates

What else you need to know:
 Get the coverage of a tinted moisturizer and benefits of skincare in an oil-free, lightweight formula that color-corrects skin for a brighter complexion overall. 

This product is vegan-friendly, cruelty-free, and formulated without oil or fragrance.","Octinoxate 7.50%, Octisalate 4.00%, Oxybenzone 2.50%, Titanium Dioxide 1.10%, Water\Aqua\Eau, Dimethicone, Butylene Glycol, Propanediol, Glyceryl Stearate, Phenyl Trimethicone, Behenyl Alcohol, Trioctyldodecyl Citrate, Polymethylsilsesquioxane, Ascorbyl Glucoside, Peg-40 Stearate, Polyglyceryl-10 Pentastearate, Octyldodecyl Stearoyl Stearate, Hordeum Vulgare (Barley) Extract\Extrait D'Orge, Triticum Vulgare (Wheat) Germ Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Pyrus Malus (Apple) Fruit Extract, Cucumis Sativus (Cucumber) Fruit Extract, Octyldodecyl Neopentanoate, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Polyglyceryl-6 Polyricinoleate, Laminaria Saccharina Extract, Glycyrrhetinic Acid, Sucrose, Scutellaria Baicalensis Root Extract, Lecithin, Sodium Stearoyl Lactylate, Caffeine, Acetyl Hexapeptide-8, Cholesterol, Tocopheryl Acetate, Tetrahexyldecyl Ascorbate, Tocopheryl Linoleate/Oleate, Linoleic Acid, Dimethoxytolyl Propylresorcinol, Squalane, Sodium Pca, Urea, Bisabolol, Isopropyl Titanium Triisostearate, Glycerin, Oryzanol, Sodium Hyaluronate, Trehalose, Polyquaternium-51, Stearic Acid, Silica, Ergothioneine, Xanthan Gum, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Alumina, Disodium Edta, Phenoxyethanol, Sodium Dehydroacetate, Chlorphenesin, [+/- Iron Oxides (Ci 77492), Zinc Oxide (Ci 77497), Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491), Iron Oxides (Ci 77499)] "
Givenchy,Photo’Perfexion Fluid Foundation SPF 20,$51.00 ,SIZE 0.8 oz,4.4 / 5 stars,"Coverage: 
? Full 
? Medium 

Skin type: 
? Normal 
? Combination 
? Oily 

Finish: 
? Natural 

SPF: 
- 20 

What it is: 
	A naturally flawless fluid foundation for a luminous complexion 

What it does: 
 A foundation with excellent coverage and a completely natural result for a smooth, even, luminous, and fresh complexion. Inspired by digital imaging, Photo'Perfexion foundation recreates the perfect skin quality obtained with touch-ups while remaining completely natural. Givenchy's exclusive SkinPerfector Complex acts like as an eraser to minimize the look of imperfections. Lighting Complex adjusts the luminosity to the contours of the face to blur irregularities, imperfections, and fine lines as if by magic. 

What it is formulated WITHOUT: 
- Parabens ",N/A
Laura Mercier,Silk Crème Oil Free Photo Edition Foundation,$48.00 ,SIZE 1 oz/ 30 mL,4.1 / 5 stars,"Coverage: 
? Full 

Skin type: 
? Sensitive 
? Normal 
? Combination 
? Oily 

Finish: 
? Matte 

What it is: 
 An oil-free, 10-hour wear, lasting foundation that remains comfortable on skin. 

What it does: 
 Creates a flawless, comfortable canvas that lasts up to 12 hours. Get Silk Crème Oil Free Photo Edition Foundation, Laura Mercier's fullest coverage foundation. It smooths skin and visibly evens the look of your skin tone. The high-pigment formula blends seamlessly, hiding even hard-to-cover imperfections for a natural-looking, matte finish that’s ideal for photos, videos, and special events—as well as everyday wear. Its color-true pigments virtually disappear on your skin for a smooth, even application and blending. 

What it is formulated WITHOUT: 
- Parabens 
- Phthalates 

What else you need to know: 
 ""A woman should feel flawless every day, whether she is dropping her kids off at school or getting ready for a black tie event. If you’re seeking an Oil Free formula with a natural matte finish, Silk Crème Oil Free Photo Edition Foundation will give you the confidence of a photo-ready, flawless finish—whatever the occasion.""—Laura Mercier 

 Renowned makeup artist Laura Mercier believes that Foundation's true purpose is to even out your skin tone so it looks its very best. Her foundations create a flawless, natural look that lets your skin show through, yet they are distinctly lighter in weight and texture. The aim is to enhance your beauty, not cover it up. 

 This professional-quality foundation is noncomedogenic, dermatologist-tested, and free of sodium laurel.","-Silk Powder Blend: A blend of Silk Powder and Silica Dimethicone Silylate that absorbs oil and balances moisture. 
-Tea Extract: Smooths the skin. 
-Vitamins A and E 

Cyclopentasiloxane, Water, Phenyl Trimethicone, Ethylhexyl Palmitate, Glycerin, Bu"
Bobbi Brown,BB Cream SPF 35,$46.00 ,SIZE 1.35 oz,3.9 / 5 stars,"What it is:
 A five-in-one BB Cream that perfects, hydrates, brightens, repairs, and protects with SPF 35. 

What it is formulated to do:
- This formula combines hydration, pore-refining peptides, broad spectrum SPF, and sheer coverage with a matte finish 
- Features SPF 35 sun protection 

 Inspired by a skincare and makeup hybrid that’s a cult favorite in Asia, this formula combines water-attracting molecules to boost hydration; light-reflective pearls to brighten dull skin; botanical extracts and caffeine to reduce discoloration and redness, and pore-refining peptides like argireline peptide to minimize the look of fine lines and fight wrinkles. Sodium hyaluronate and skin-quenching emollients help increase moisture and long-term luminosity. It features broad-spectrum UVA/UVB protection with SPF 35 and antioxidants to help prevent damage. This cream delivers sheer coverage or a smooth canvas for foundation, while delivering a natural-looking, matte finish. 

What else you need to know:
This product is for normal-to-oily skin types. ","Octinoxate 7.50%, Octisalate 4.00%, Oxybenzone 2.50%, Titanium Dioxide 1.10%Ingredients

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients."
NARS,Velvet Matte Skin Tint Broad Spectrum SPF 30,$45.00 ,SIZE 1.7 oz,3.8 / 5 stars,"Coverage: 
? Medium 

Skin type: 
? Normal 
? Combination 
? Oily 

Finish: 
? Matte 


SPF 
- SPF 30 

What it is: 
 A weightless, all-in-one, oil free, matte skin tint with broad spectrum SPF 30 and shine control that transforms the look of skin immediately and over time. 

What it does: 
 Velvet Matte Skin Tint Broad Spectrum SPF 30 effortlessly perfects with a soft touch. Ultra-blendable and instantly sensorial, this glide-and-go, plush, oil-free formula works on contact, delivering second-skin perfection and boosting environmental defense. It helps to blur imperfections and even the skintone with a soft-matte finish. It wears comfortably, maintaining skin’s natural moisture barrier, while working to control shine throughout the day. Infused with NARS’ innovative Velvet Illusion Complex, the Velvet Matte Skin Tint instantly transforms the look of skin with powerful optical effects designed to manipulate light, creating an immediate soft-focus effect that helps blur imperfections. Powered with rose fruit extract, it visibly tightens the appearance of pores with every application. It wears comfortably and weightlessly, while helping to provide antioxidant defense with vitamins C, E, and broad spectrum SPF 30. 

What else you need to know: 
 ""Skin is the most important part of makeup. It reveals your appeal.""—François Nars, Founder and Creative Director 

 This broad spectrum SPF 30 product is free of oil, fragrance, alcohol. It is sweat- and humidity-resistant, dermatologist tested, and noncomedogenic. 

Research results: 
In an independent US consumer study on 61 participants: 
- Clinically proven to provide 16-hour wear 
- 98% of women agree the formula felt comfortable and breathable on their skin 
- 93% of women agree the formula gave their skin a natural look 
- 86% of women agree the formula controlled oil and shine throughout the day ","-Rosefruit Extract: Helps to minimize the appearance of pores over time.
-Vitamin Complex C, E: Delivers antioxidant benefits."
LANEIGE,BB Cushion Hydra Radiance SPF 50,$38.00 ,SIZE 0.5 oz/ 15 g x 2,4.2 / 5 stars,"Which skin type is it good for?
? Normal
? Oily
? Combination
? Dry
? Sensitive

What it is:
A radiance-enhancing, hydrating version of LANEIGE's BB Cushion, it’s infused with Melacrusher™ to brighten skin and double-coated pigments to brighten and hydrate.

Solutions for:
- Dryness
- Dullness and uneven skintone
- Redness

If you want to know more…
The go-to for on-the-go beauty, this foundation-forward version of LANEIGE's popular BB Cushion is a real glow-getter. Broad spectrum SPF 50 protects against UVA/UVB rays. Exclusive Melacrusher™ brightening technology evens skin and creates a flawless complexion. Double-coated pigments, infused with micro pearls and moisturizer, ensure long-lasting hydration and a luminous finish. Features an exclusive Skin Fit air cushion and dense antimicrobial applicator for a thin, even layer of coverage every time. Just apply it whenever and wherever you want, with no buildup or bother. It also includes a full size refill and additional applicator puff.

What it is formulated WITHOUT:
- Parabens
- Phthalates

What else you need to know:
This product is dermatologist tested. LANEIGE does not test ingredients or products on animals.","Octinoxate 7%
Titanium Dioxide 4.15%
Zinc Oxide 9.8%

Water, Cyclopentasiloxane, Zinc Oxide (CI 77947), Ethylhexyl Methoxycinnamate, PEG-10 Dimethicone, Cyclohexasiloxane, Phenyl Trimethicone, Iron Oxides (CI 77492), Butylene Glycol Dicaprylate/Dicaprate, Niacinamide, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Acrylates/Ethylhexyl Acrylate/Dimethicone Methacrylate Copolymer, Titanium Dioxide (CI 77891 , Iron Oxides (CI 77491), Butylene Glycol, Sodium Chloride, Iron Oxides (CI 77499), Aluminum Hydroxide, HDI/Trimethylol Hexyllactone Crosspolymer, Stearic Acid, Methyl Methacrylate Crosspolymer, Triethoxycaprylylsilane, Phenoxyethanol, Fragrance, Disteardimonium Hectorite, Caprylyl Glycol, Yeast Extract, Acrylates/Stearyl Acrylate/Dimethicone Methacrylate Copolymer, Dimethicone, Trimethylsiloxysilicate, Polysorbate 80, Disodium EDTA, Hydrogenated Lecithin, Dimethicone/Vinyl Dimethicone Crosspolymer, Mica (CI 77019), Silica, 1,2-Hexanediol, Polypropylsilsesquioxane, Chenopodium Quinoa Seed Extract, Magnesium Sulfate, Calcium Chloride, Camellia Sinensis Leaf Extract, Manganese Sulfate, Zinc Sulfate, Ascorbyl Glucoside."
Dr. Jart+,BB Dis-A-Pore Beauty Balm,$36.00 ,SIZE 1.7 oz/ 50 mL,4.3 / 5 stars,"What it is:
An innovative formula to moisturize, protect, and correct pores for a beautiful, radiant complexion. 

What it is formulated to do:
- For combination to oily skin, this powerful formula conceals and treats enlarged pores and blemishes 
- Features SPF 30 sun protection 
- Comes in one universal shade 

This all-in-one, innovative pore tightening formula delivers flawless coverage, sun protection, and hydration benefits. The perfect mixture of smoothing powder and elastic silky polymer gives tight adherence and covers blemishes and pores, fine lines, and uneven skin tone. It helps to smooth and clear skin by treating large pores while herbal extracts control excessive sebum and present a fresh look all day long. The multifunctional BB cream brightens, provides antiwrinkle benefits, and protects the skin from harm UV rays, leaving the complexion smooth, beautiful, and natural-looking. 

What it is formulated WITHOUT:
- Parabens
- Sulfates 
- Phthalates 

What else you need to know:
This BB cream is hypoallergenic, cruelty-free, and dermatologist tested.

Beauty Balms or BB Creams were originally developed as a perfect post-procedure cream used to treat, hydrate, prime, protect, and camouflage the skin. Great for all skin types including those with sensitive skin, these versatile “five-in-one” formulas are designed to do it all: treat with high levels of active skin care ingredients; moisturize and smooth dehydrated skin; prime and perfect skin’s surface; camouflage and color correct the skin tone; and protect skin from the sun with SPF. They can be used as a last step for their skin care benefits or used on their own as an instant beautifier. ","-Titanium Dioxide 9.45%, Octinaxate 4%, and Zinc Oxide 0.98% 
-Vita Bright Capsules: Even skin tone.
-Vitamin Tree Fruit: Brightens skin.
-Snow Lotus: Brightens and soothes.
-Nordenau Water: Moisturizes.

Water, Cyclopentasiloxane, Dimethicone, PEG-"
Giorgio Armani Beauty,Crema Nuda,$120.00 ,SIZE 1 oz/ 30 mL,4.1 / 5 stars,"What it is: 
A complexion perfector with the performance power that surpasses both a BB and CC cream, making it a next level tinted cream. 

What it does: 
 Crema Nuda is a skin treatment providing invisible correction and nude coverage. Transparent pigments suspended into a water based texture allow the skin to reflect light in multiple directions for an enhanced glow while blurring imperfections. The specially blended formula contains Armani’s exclusive anti-aging complex Reviscentalis, one of the most potent regeneration plants, that helps uncover radiant skin and a more youthful appearance. Hyaluronic acid and mannose complete the formula by adding deep hydration with a weightless feel.","-Reviscentalis: An anti-aging complex that improves skin radiance and reveals younger looking skin. 
-Hyaluronic Acid: Provides deep hydration with a weightless feel. 

Water, Dimethicone, Glycerin, Isohexadecane, Propanediol, Diisostearyl Malate, Boro"
Josie Maran,Vibrancy Argan Oil Foundation Fluid,$45.00 ,SIZE 1 oz/ 30 mL,3.8 / 5 stars,"What it is:
A revolutionary medium-to-full coverage skin care foundation fluid powered by 100 percent pure argan oil and nutrient-rich pigments for vibrant, glowing skin. 

What it is formulated to do:
Activate your skin’s vitality with Vibrancy Argan Oil Foundation Fluid. Like a fresh squeezed juice, Vibrancy utilizes a revolutionary cold-pressed process that preserves the powerful, hand-selected ingredients for the freshest, most effective skin care foundation. Vibrancy energizes your skin with the essential nutrients it craves and is designed to interact and adapt to the movements of your skin with delicate fluidity for a radiant, dimensional finish. The breathable, lightweight, medium-to-full coverage formula features a powerful blend of moisture-enhancing ingredients that help soothe, smooth, and restore skin's luminosity. 

What it is formulated WITHOUT:
- Parabens
- Sulfates 
- Phthalates 

What else you need to know:
This product is dermatologist tested and clinically proven to hydrate and smooth even the most sensitive skin. Find your ideal shade with confidence. First identify your undertones: R is for rosey undertones, G is for golden undertones, and RG is for neutral or rose gold undertones. Next, you'll choose the depth of your shade, with 5 being the most fair and 85 being the most rich. 

Research results:
In a clinical study after 4 weeks:
- 100% of subjects experienced a significant increase of skin moisture by 106% 
- 98% of subjects experienced a significant increase of skin smoothness and softness by 111% 

In a consumer study: 
- 100% said that their past feelings about foundation improved after experiencing Vibrancy 
- 93% agreed Vibrancy helped visibly calm their skin condition, specifically scarring, inflammation, and rosacea 

This product is an Allure Best of Beauty award winner.","-100 Percent Pure Argan Oil: Rich in antioxidants, vitamin E, and essential fatty acids; helps nourish, protect, and preserve skin’s youthful cushion. 
-Blueberry Argan Extract: A synergistic blend of 100 percent pure argan oil and blueberry extract desi"
Urban Decay,Naked Skin One & Done Hybrid Foundation,$36.00 ,SIZE 1.3 oz,4.1 / 5 stars,"Coverage: 
? Medium 
? Sheer 

Skin type: 
? Combination 

Finish: 
? Natural 

SPF: 
- SPF 20 

What it is: 
 A hybrid complexion cream that instantly and completely blurs imperfections, evens out the skin tone, and doesn't look overdone. 

What it does: 
 With Urban Decay’s Naked Skin One & Done Hybrid Complexion Perfector, you’ll get the benefits of skin treatment and protection with the coverage of a sheer foundation. This oil-free formula is loaded with nourishing ingredients, including peptides, vitamins, and moisturizers. Gatuline® Radiance—derived from the wu zhu yu plant—improves the look of brightness, tone, and texture, while SPF 20 helps protect against sun damage. 

 Instantly blur imperfections and even out skin tone—for beautiful skin that looks effortlessly perfected. This perfector gets the job done so well, there’s no need for foundation—in just one step, you're done. Its high-tech, lightweight formula provides more coverage, hydration, and optical blurring than a BB or CC cream. But the best part is how it transforms the look of your skin. Light-diffusing spheres instantly help make flaws seem to disappear. Over time, pores appear smaller and skin looks noticeably firmer and more radiant. It features a broad range of easy-to-match shades to cover a wide spectrum of skin tones. 

What else you need to know: 
 Naked Skin One & Done Hybrid Complexion Perfector comes in a sleek, metallic tube with champagne and gunmetal ombré artwork. Its convenient, airless pump makes it easy to get out every last bit. ","-Octinoxate 7.5% Sunscreen 
-Zinc Oxide 3.4% 

Water, Isododecane, Cyclopentasiloxane, Adipic Acid/Neopentyl Glycol Crosspolymer, Lauryl Dimethicone, Polyglyceryl-6 Polyricinoleate, Dimethicone/Vinyl Dimethicone Crosspolymer, Isononyl Isononanoate, Pro"
Lancôme,SKIN FEELS GOOD Skin Nourishing Foundation,$35.00 ,SIZE 1.08 oz/ 32 mL,4.4 / 5 stars,"Coverage:
? Sheer

Skin type:
? Normal
? Dry
? Combination
? Oily

Finish:
? Radiant

SPF:
- SPF 23

What it is:
 A hydrating, oil-free foundation with SPF 23 for the ""no-makeup makeup"" look, infused with antioxidants to protect against free radicals and pollution.

What does:
 Skin Feels Good is a next generation foundation that protects and perfects the look of skin while allowing your skin to shine through. Available in 11 buildable and adaptable shades, it is enriched with skin-nourishing ingredients like hyaluronic acid to lock-in moisture for all-day hydration, moringa seed extract to revitalize and protect against free radicals, and SPF 23 protection. This lightweight, breathable, oil-free formula gives skin a velvety smooth, radiant glow without clogging pores, so your skin will literally feel good.

What it is formulated WITHOUT:
- Parabens","-Octinoxata 3%: Sunscreen.

Water, Glycerin, Caprylyl Methicone, Ethylhexyl Methoxycinnamate, Propanediol, Dimethicone, Rosa Gallica Flower Extract, Sorbitol, Triethoxysilylethyl Polydimethylsiloxyethyl Dimethicone, Dimethicone/PEG-10/15 Crosspolymer, S"
CLINIQUE,Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30,$39.00 ,SIZE 1.4 oz,3.8 / 5 stars,"What it is:
An oil-free, color-correcting, perfecting formula to create a natural glow while hydrating and protecting the skin. 

What it is formulated to do:
This must-have color-correcting formula smooths the complexion and creates an ultranatural radiance. It instantly corrects a range of complexion concerns including dullness, sallowness, and redness. Perfect for wearing alone or under foundation and recommended for all skin types, the lightweight, oil-free cream moisturizes and protects with sunscreen, leaving the skin soft, fresh, and flawless. 

What it is formulated WITHOUT: 
- Parabens ","Octinoxate 7.50% , Octisalate 5.00% , Titanium Dioxide 5.20% , Zinc Oxide 3.20%Water\Aqua\Eau , Squalane , Octyldodecyl Neopentanoate , Butylene Glycol , Propanediol , Glyceryl Stearate , Behenyl Alcohol , Peg-40 Stearate , Polyglyceryl-10 Pentastearate , Aloe Barbadensis Leaf Water , Thermus Thermophillus Ferment , Trehalose , Caffeine , Glycerin , Linoleic Acid , Lecithin , Stearic Acid , Hydrogenated Lecithin , Sorbitol , Polyglyceryl-6 Polyricinoleate , Tocopheryl Acetate , Ammonium Acryloyldimethyltaurate/Vp Copolymer , Sodium Stearoyl Lactylate , Sodium Hyaluronate , Tetrahexyldecyl Ascorbate , Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate , Isopropyl Titanium Triisostearate , Synthetic Fluorphlogopite , Xanthan Gum , Silica , Alumina , Sodium Dehydroacetate , Tin Oxide , Disodium Edta , Phenoxyethanol , [+/- Mica , Titanium Dioxide (Ci 77891) , Iron Oxides (Ci 77492) , Iron Oxides (Ci 77491) , Iron Oxides (Ci 77499)] "
Laura Mercier,Silk Crème Moisturizing Photo Edition Foundation,$48.00 ,SIZE 1 oz/ 30 mL,3.9 / 5 stars,"Coverage: 
? Full 
? Medium 

Skin type: 
? Sensitive 
? Normal 
? Dry 
? Combination 

Finish: 
? Satin 
? Matte 
? Radiant 
? Natural 

What it is: 
A hydrating, 12-hour wear foundation that remains comfortable on skin. 

What it does: 
 Creates a flawless, comfortable canvas that lasts up to 12 hours with Laura Mercier's fullest coverage foundation. The high pigment formula blends seamlessly, hiding even hard-to-cover imperfections. Its naturally luminous, radiant finish is ideal for selfies, photos, video, special events, and everyday wear. Color-true pigments virtually disappear on skin for smooth, even application and blending. 

What it is formulated WITHOUT: 
- Parabens 
- Phthalates 

What else you need to know: 
 ""A woman should feel flawless every day, whether she is dropping her kids off at school or getting ready for a black tie event. If you’re seeking a moisturizing formula with a luminous finish, this will give you the confidence of a photo-ready, flawless finish—whatever the occasion.""—Laura Mercier 

 Renowned makeup artist Laura Mercier believes that Foundation's true purpose is to even out your skin tone so it looks its very best. Her foundations create a flawless, natural look that lets your skin show through, yet they are distinctly lighter in weight and texture. The aim is to enhance your beauty, not to cover it up. 

 This professional-quality foundation is noncomedogenic, dermatologist-tested, and it’s free of fragrance and sodium laurel. 

Research results: 
In a customer survey on women after 4 weeks of use: 
- 100% said it seemed to increase skin's luminosity and radiance 
- 100% said it’s long-wearing 
- 97% reported that it’s ideal for photography and video 
- 97% reported that it hides even hard-to-cover imperfections","-Silk Protein Blend: A blend of Silk Protein Fiber and Glycerin that helps to retain and deliver moisture into the skin. 
-Tea Extract: Helps smooth skin. 
-Shea Butter and Sodium Hyaluronate: Moisturizing complex that provides moisturizing benefits. 
"
Giorgio Armani Beauty,Luminous Silk Powder Foundation,$62.00 ,SIZE 0.31 oz/ 9 g,4.3 / 5 stars,"What it is: 
An oil-free, award-winning, lightweight powder foundation with a radiant, luminous finish. 

What it does: 
Inspired by the silk chantung worn by kings and emperors, Luminous Silk Powder Foundation captures the glow of flawless skin. This hydrating foundation glides on seamlessly, for all-day, buildable coverage that leaves an ultrasmooth finish. This award-winning foundation is formulated with Micro-fil— technology, which fuses high impact pigments and weightless texture for a lightweight formula. 

What else you need to know: 
Luminous Silk Powder Foundation is an InStyle Best Beauty Buy award-winner for ""Best Liquid Foundation"" and ""Perfect Match, #1 Makeup Artist's Choice"" for the 10th Year in a row. 

""These products are directly inspired by the way I choose fabrics for my collections. They allow the natural glow of the skin to come through no matter how many layers you apply.""—Giorgio Armani 

""Quite simply, the best foundation there is.""—Linda Cantello, International Makeup Artist",#NAME?
CLINIQUE,Acne Solutions Liquid Makeup,$29.00 ,SIZE 1 oz/ 30 mL,4.2 / 5 stars,"Coverage: 
? Medium 

Skin type: 
? Dry 
? Combination 
? Oily 

Finish: 
? Matte 

What it is: 
 An eight-hour wear, liquid makeup that neutralizes redness and blends away blemishes. 

What it does: 
 Acne Solutions Liquid Makeup feels fresh and looks natural. This non-irritating, oil-free makeup blends away blemishes and reduces the look of redness. The medicated ingredients help treat existing breakouts and keep them from coming back. 

What it is formulated WITHOUT: 
- Parabens 

What else you need to know: 
 This product is non-acnegenic, dermatologist tested, allergy tested, and sweat- and humidity-resistant. It’s free of fragrance, oil. ","Methyl Trimethicone , Water\Aqua\Eau , Dipropylene Glycol , Alcohol Denat. , Nylon-12 , Butylene Glycol , Talc , Peg-10 Dimethicone , Dimethicone , Trimethylsiloxysilicate , Silica , Laminaria Saccharina Extract , Calcium Stearate , Isononyl Isononanoate , Caffeine , Glycerin , Hydroxyapatite , Dimethicone/Peg-10/15 Crosspolymer , Sorbitan Sesquioleate , Dimethicone/Vinyl Dimethicone Crosspolymer , Triethoxycaprylylsilane , Quaternium-90 Bentonite , 10-Hydroxydecanoic Acid , Lecithin , Tocopherol , Sodium Chloride , Tromethamine , Propylene Carbonate , Alumina , Disodium Edta , Sodium Citrate , Phenoxyethanol , [+/- Titanium Dioxide (Ci 77891) , Iron Oxides (Ci 77491, Ci 77492, Ci 77499) , Mica] "
